year	month	IQD_USD	USD_IQD
2003	12	0.307824	3.248607
2003	11	0.310562	3.219965
2003	10	0.306727	3.260224
2003	9	0.311906	3.206091
2003	8	0.311861	3.206553
2003	7	0.311137	3.214018
2003	6	0.309228	3.233864
2003	5	0.309599	3.22998
2003	4	0.309427	3.231782
2003	3	0.309894	3.226908
2003	2	0.309868	3.227176
2003	1	0.310912	3.216346
2004	12	1444.839788	0.000692
2004	11	1451.957642	0.000689
2004	10	1456.116587	0.000687
2004	9	1459.985890	0.000685
2004	8	1466.972577	0.000682
2004	7	1460.917133	0.000685
2004	6	1462.156503	0.000684
2004	5	1443.817656	0.000693
2004	4	1173.086925	0.000852
2004	3	1472.383497	0.000679
2004	2	1501.222808	0.000666
2004	1	1521.201325	0.000657
2005	12	1473.649054	0.000679
2005	11	1486.187403	0.000673
2005	10	1472.287870	0.000679
2005	9	1460.432728	0.000685
2005	8	1459.368945	0.000685
2005	7	1470.472361	0.00068
2005	6	1489.922272	0.000671
2005	5	1466.506280	0.000682
2005	4	1459.203032	0.000685
2005	3	1452.705382	0.000688
2005	2	1455.625654	0.000687
2005	1	1453.859563	0.000688
2006	12	1387.947514	0.00072
2006	11	1458.290131	0.000686
2006	10	1470.881107	0.00068
2006	9	1473.873701	0.000678
2006	8	1478.479272	0.000676
2006	7	1478.172043	0.000677
2006	6	1467.494100	0.000681
2006	5	1472.034472	0.000679
2006	4	1470.771001	0.00068
2006	3	1471.209120	0.00068
2006	2	1473.556467	0.000679
2006	1	1479.898188	0.000676
2007	12	1216.335039	0.000822
2007	11	1229.873608	0.000813
2007	10	1234.017749	0.00081
2007	9	1236.178362	0.000809
2007	8	1235.838933	0.000809
2007	7	1247.956107	0.000801
2007	6	1273.668263	0.000785
2007	5	1273.582850	0.000785
2007	4	1281.936979	0.00078
2007	3	1282.857457	0.00078
2007	2	1289.603985	0.000775
2007	1	1306.150966	0.000766
2008	12	1158.911044	0.000863
2008	11	1169.983602	0.000855
2008	10	1169.685989	0.000855
2008	9	1174.981265	0.000851
2008	8	1182.080368	0.000846
2008	7	1177.229224	0.000849
2008	6	1194.154369	0.000837
2008	5	1196.399899	0.000836
2008	4	1192.242827	0.000839
2008	3	1209.834975	0.000827
2008	2	1212.065822	0.000825
2008	1	1215.684255	0.000823
2009	12	1148.177079	0.000871
2009	11	1153.464422	0.000867
2009	10	1156.518440	0.000865
2009	9	1160.620909	0.000862
2009	8	1158.894131	0.000863
2009	7	1158.250521	0.000863
2009	6	1158.314047	0.000863
2009	5	1171.638637	0.000854
2009	4	1162.392277	0.00086
2009	3	1163.485585	0.000859
2009	2	1151.832316	0.000868
2009	1	1134.802393	0.000881
2010	12	1170.392449	0.000854
2010	11	1165.907620	0.000858
2010	10	1168.441811	0.000856
2010	9	1171.327623	0.000854
2010	8	1166.477201	0.000857
2010	7	1170.180483	0.000855
2010	6	1165.048825	0.000858
2010	5	1165.961383	0.000858
2010	4	1171.481081	0.000854
2010	3	1168.076849	0.000856
2010	2	1167.841651	0.000856
2010	1	1156.304021	0.000865
2011	12	1164.051798	0.000859
2011	11	1171.828083	0.000853
2011	10	1173.134217	0.000852
2011	9	1160.242367	0.000862
2011	8	1164.489528	0.000859
2011	7	1168.527466	0.000856
2011	6	1168.756504	0.000856
2011	5	1167.635387	0.000856
2011	4	1175.689227	0.000851
2011	3	1176.585927	0.00085
2011	2	1181.787243	0.000846
2011	1	1172.790633	0.000853
2012	12	1164.507498	0.000859
2012	11	1164.389539	0.000859
2012	10	1163.023757	0.00086
2012	9	1168.507566	0.000856
2012	8	1164.843101	0.000858
2012	7	1165.755919	0.000858
2012	6	1166.843276	0.000857
2012	5	1150.614681	0.000869
2012	4	1163.817269	0.000859
2012	3	1166.728473	0.000857
2012	2	1167.889891	0.000856
2012	1	1174.970153	0.000851
2013	12	1165.424286	0.000858
2013	11	1162.045172	0.000861
2013	10	1164.152930	0.000859
2013	9	1166.036271	0.000858
2013	8	1164.037439	0.000859
2013	7	1162.596716	0.00086
2013	6	1158.563636	0.000863
2013	5	1155.851475	0.000865
2013	4	1161.541013	0.000861
2013	3	1161.820774	0.000861
2013	2	1163.445639	0.00086
2013	1	1164.976514	0.000858
2014	12	1158.084592	0.000863
2014	11	1165.657177	0.000858
2014	10	1171.131047	0.000854
2014	9	1170.116020	0.000855
2014	8	1172.705013	0.000853
2014	7	1172.274311	0.000853
2014	6	1177.543816	0.000849
2014	5	1175.207082	0.000851
2014	4	1164.077632	0.000859
2014	3	1169.969551	0.000855
