id	eventid	iyear	imonth	iday	approxdate	extended	resolution	country	country_txt	region	region_txt	provstate	city	latitude	longitude	specificity	vicinity	location	summary	crit1	crit2	crit3	doubtterr	alternative	alternative_txt	multiple	success	suicide	attacktype1	attacktype1_txt	catgory_attacktype	attacktype2	attacktype2_txt	attacktype3	attacktype3_txt	targtype1	targtype1_txt	targsubtype1	targsubtype1_txt	corp1	target1	natlty1	natlty1_txt	targtype2	targtype2_txt	targsubtype2	targsubtype2_txt	corp2	target2	natlty2	natlty2_txt	targtype3	targtype3_txt	targsubtype3	targsubtype3_txt	corp3	target3	natlty3	natlty3_txt	gname	gsubname	gname2	gsubname2	gname3	gsubname3	motive	guncertain1	guncertain2	guncertain3	individual	nperps	nperpcap	claimed	claimmode	claimmode_txt	claim2	claimmode2	claimmode2_txt	claim3	claimmode3	claimmode3_txt	compclaim	weaptype1	weaptype1_txt	weapsubtype1	weapsubtype1_txt	weaptype2	weaptype2_txt	weapsubtype2	weapsubtype2_txt	weaptype3	weaptype3_txt	weapsubtype3	weapsubtype3_txt	weaptype4	weaptype4_txt	weapsubtype4	weapsubtype4_txt	weapdetail	nkill	nkillus	nkillter	nwound	nwoundus	nwoundte	property	propextent	propextent_txt	propvalue	propcomment	ishostkid	nhostkid	nhostkidus	nhours	ndays	divert	kidhijcountry	ransom	ransomamt	ransomamtus	ransompaid	ransompaidus	ransomnote	hostkidoutcome	hostkidoutcome_txt	nreleased	addnotes	scite1	scite2	scite3	dbsource	INT_LOG	INT_IDEO	INT_MISC	INT_ANY	related
12578	1,98101E+11	1981	1	0		0		95	Iraq	10	Middle East & North Africa	Sulaymaniyah	Unknown	35.500143	45.30573	4.0	0			1	1	1	0.0			0.0	1	0	6	Hostage Taking (Kidnapping)	Hostage Taking (Kidnapping)					14	Private Citizens & Property	77.0	Laborer (General)/Occupation Identified	U.K.	Michael Powell, 28, British water engineer	216.0	Great Britain	14.0	Private Citizens & Property	77.0	Laborer (General)/Occupation Identified	Egypt	Egyptian dentist	60.0	Egypt	14.0	Private Citizens & Property	77.0	Laborer (General)/Occupation Identified	India	4 construction workers	92.0	India	Unified Kurdish Socialist Party							0.0			0													13	Unknown																						0					1.0	9.0	0.0				Iraq	1.0	0.0												PGIS	0	1	1	1	
31186	1,98706E+11	1987	6	6		0		95	Iraq	10	Middle East & North Africa	Dihok	Duhok	36.860813	42.97646	1.0	0			1	1	1	-9.0			0.0	1	0	2	Armed Assault	Armed Assault					14	Private Citizens & Property	73.0	Vehicles/Transportation	Turkish Transit Highway (International)	Truck	209.0	Turkey																	Kurds							0.0			0													5	Firearms	2.0	Automatic or Semi-Automatic Rifle													Automatic firearm	0.0			4.0			1					0.0							0.0													PGIS	-9	-9	1	1	
47030	1,99107E+11	1991	7	3		0		95	Iraq	10	Middle East & North Africa	Dihok	Aneshki	37.1075	43.361111	1.0	0			1	1	1	0.0			0.0	1	0	1	Assassination	Armed Assault					14	Private Citizens & Property	69.0	Religion Identified		Francis Daoud Nona	95.0	Iraq																	Kurdish Peshmerga Guerrillas							0.0			0	3.0												5	Firearms	3.0	Handgun													Pistol	1.0			0.0			0					0.0							0.0													PGIS	-9	-9	0	-9	
51286	1,99205E+11	1992	5	5		0		95	Iraq	10	Middle East & North Africa	Sulaymaniyah	Chamchamal	35.532791	44.827717	1.0	0			1	0	1	1.0	3.0	Intra/Inter-group Conflict	0.0	1	0	2	Armed Assault	Armed Assault					22	Violent Political Party	109.0	Party Official/Candidate/Other Personnel	Patriotic Union of Kurdistan (PUK)	Members	209.0	Turkey																	Hamawand Tribe							0.0			0													5	Firearms	2.0	Automatic or Semi-Automatic Rifle													Automatic firearm	14.0			0.0			1					0.0							0.0													PGIS	1	0	1	1	
51484	1,99205E+11	1992	5	17		0		95	Iraq	10	Middle East & North Africa	Dihok	Zakho	37.137891	42.699011	1.0	0			1	1	1	0.0			0.0	1	0	3	Bombing/Explosion	Bombing/Explosion					14	Private Citizens & Property	74.0	Marketplace/Plaza/Square		City Center	95.0	Iraq																	Unknown							0.0			0													6	Explosives	15.0	Vehicle													Car bomb	0.0			0.0			1					0.0							0.0													PGIS	-9	-9	0	-9	
52102	1,99207E+11	1992	7	9		0		95	Iraq	10	Middle East & North Africa	Arbil	Arbil	36.192589	44.004623	1.0	0			1	1	1	0.0			0.0	1	0	3	Bombing/Explosion	Bombing/Explosion					7	Government (Diplomatic)	47.0	International Organization (peacekeeper, aid agency, compound)	United Nations	Residence used by U.N. Guards	422.0	International																	Unknown							0.0			0													6	Explosives	7.0	Grenade													Grenade	0.0			2.0			1					0.0							0.0													PGIS	-9	-9	1	1	
52169	1,99207E+11	1992	7	16		0		95	Iraq	10	Middle East & North Africa	Dihok	Duhok	36.860813	42.97646	1.0	0			1	1	1	0.0			0.0	1	0	1	Assassination	Armed Assault					7	Government (Diplomatic)	47.0	International Organization (peacekeeper, aid agency, compound)	United Nations	U.N. Guard R. Dakia *	422.0	International																	Unknown							0.0			0													5	Firearms	3.0	Handgun													Pistol	1.0			0.0			0					0.0							0.0													PGIS	-9	-9	1	1	
52210	1,99207E+11	1992	7	20		0		95	Iraq	10	Middle East & North Africa	Sulaymaniyah	Sulaymaniyah	35.567009	45.385494	1.0	0			1	1	1	0.0			0.0	1	0	3	Bombing/Explosion	Bombing/Explosion					7	Government (Diplomatic)	47.0	International Organization (peacekeeper, aid agency, compound)	United Nations	Building	422.0	International																	Unknown							0.0			0													6	Explosives	15.0	Vehicle													Explosive	0.0			2.0			1					0.0							0.0													PGIS	-9	-9	1	1	
52332	1,99207E+11	1992	7	27		0		95	Iraq	10	Middle East & North Africa	Sulaymaniyah	Sulaymaniyah	35.567009	45.385494	1.0	0			1	1	1	-9.0			0.0	1	0	2	Armed Assault	Armed Assault					7	Government (Diplomatic)	47.0	International Organization (peacekeeper, aid agency, compound)	United Nations	Barracks	422.0	International																	Unknown							0.0			0													5	Firearms	2.0	Automatic or Semi-Automatic Rifle													Automatic firearm	0.0			0.0			1					0.0							0.0													PGIS	-9	-9	1	1	
52596	1,99208E+11	1992	8	17		0		95	Iraq	10	Middle East & North Africa	Sulaymaniyah	Sulaymaniyah	35.567009	45.385494	1.0	1			1	1	1	-9.0			0.0	1	0	2	Armed Assault	Armed Assault					7	Government (Diplomatic)	47.0	International Organization (peacekeeper, aid agency, compound)	United Nations	Patrol vehicle	422.0	International																	Unknown							0.0			0													5	Firearms	2.0	Automatic or Semi-Automatic Rifle													Automatic firearm	0.0			1.0			1					0.0							0.0													PGIS	-9	-9	1	1	
