Year	1	2	3	4	5	6	7	8	9	10	11	12
2003	2782	3277	635	353	392	1,361	1,811	1,956	810	704	986	1,279	16,346
2004	1,670	741	1,116	1,838	3,098	2,947	2,544	2,400	2,090	2,920	2,134	3,059	26,557
2005	3,935	5,907	6,173	5,261	2,408	4,998	7,513	8,728	7,417	5,699	3,991	6,857	68,887
2006	4,345	3,726	3,061	5,071	4,270	5,276	8,191	6,559	6,956	6,928	4,978	5,842	65,203
2007	46,517	64,623	75.631	67,755	19,936	18,057	14,388	3,958	4.827	9,213	17,701	34.791	377397
2008	37,223	43,458	28,351	19,824	26,355	41,147	63,885	82,706	90,052	53,285	39,742	32.832	558860
2009	48,362	35,220	58,776	72,537	64,267	50,623	65,722	84,288	97,766	89,227	57,253	67.304	791345
2010	126,047	94,112	117,660	106,035	144,909	115,084	152.842	129,822	111,629	88,652	57,443	69,606	1313841
2011	184,952	117,973	88,718	105,457	119,350	157,844	186,777	196,912	155,063	177,266	126,371	85.707	1702390
2012	126,211	218,760	179,624	167,114	242,531	209,925	214,819	265,412	158,322	175.069	137,088	122,118	2216993
2013	139,872	155,153	253,929	347,515	259,877	270,994	283,122	387,584	191,033	254079	242,014	166,855	2.952027
2014	103.168	190.916	181.783	205.098	170.120	165.192	169.862	84.285	60.426	64.466	64.238	69.880	1529434
2015	51.173	44.658	61.874	59.386	66.230	68.206	74.749	83.619	88.656	74.839	54.644	54.217	782.251
2016	106.712	88.637	141.836	122.208	133.878	145947	179.001	198.376	157.941	106.588	114.414	107.862	1603400
2017	185.601	184.984	279.820	166.571	182.835	150.475	117.796	177.671	294.227	212.714	163.104	84.412	2100210
2018	160318	135185	198.420	302.596	325.444	388.042	289.707	202.261	243.420	NA	NA	NA	2245393
