Year	GDI
2018-10-01	5119805
2018-07-01	5119805
2018-04-01	5067713
2018-01-01	5117140
2017-10-01	5047859
2017-07-01	4852814
2017-04-01	4838943
2017-01-01	4888944
2016-10-01	4837446
2016-07-01	4735883
2016-04-01	4626023
2016-01-01	4634762
2015-10-01	4776265
2015-07-01	4561112
2015-04-01	4551161
2015-01-01	4585699
2014-10-01	4635685
2014-07-01	4436727
2014-04-01	4381654
2014-01-01	4366690
2013-10-01	4383029
2013-07-01	4191441
2013-04-01	4177909
2013-01-01	4192785
2012-10-01	4236058
2012-07-01	4033820
2012-04-01	4067092
2012-01-01	4101381
2011-10-01	4034769
2011-07-01	3904411
2011-04-01	3835865
2011-01-01	3820783
2010-10-01	3914743
2010-07-01	3717598
2010-04-01	3682835
2010-01-01	3615841
2009-10-01	3713029
2009-07-01	3501418
2009-04-01	3511291
2009-01-01	3531031
2008-10-01	3666771
2008-07-01	3598950
2008-04-01	3596470
2008-01-01	3667802
2007-10-01	3664869
2007-07-01	3545984
2007-04-01	3596587
2007-01-01	3626752
2006-10-01	3630231
2006-07-01	3474958
2006-04-01	3450040
2006-01-01	3467287
2005-10-01	3456156
2005-07-01	3275538
2005-04-01	3212110
2005-01-01	3147944
2004-10-01	3250142
2004-07-01	3020344
2004-04-01	3004066
2004-01-01	2961254
2003-10-01	3008186
2003-07-01	2842095
2003-04-01	2821622
2003-01-01	2800010
